uuid,name,type,permalink,cb_url,rank,created_at,updated_at,parent_uuid,parent_name
74427669-18c2-d505-be95-39cef08f88cd,Vametco,organization,vametco,https://www.crunchbase.com/organization/vametco,644833,2017-07-13 12:44:49,2018-02-12 22:10:21,1a84bded-1e25-e9d3-49b4-d7dd8624b0f8,Strategic Minerals Corp
32acdc69-d13c-b2b1-fdde-e4ace29503fe,Philips Healthcare,organization,philips-healthcare,https://www.crunchbase.com/organization/philips-healthcare,66592,2010-05-03 12:59:20,2019-02-11 18:40:43,03099c0f-ed6a-d0ea-bf12-1347b36ed611,Koninklijke Philips
058088a4-f35b-4001-8737-c44926a39e37,Palintest Ltd,organization,palintest-ltd,https://www.crunchbase.com/organization/palintest-ltd,532599,2018-01-16 08:23:48,2019-03-30 00:45:33,3a8ea00f-67ad-a65a-9547-e98a7a55763b,Halma
a71fec77-7230-f85f-4480-dde0b14357fb,Namshi,organization,namshi,https://www.crunchbase.com/organization/namshi,2267,2012-09-16 19:44:33,2018-12-07 09:36:12,f8cdd44c-0e9d-cc11-65df-aea9eabf8fc1,Global Fashion Group
e3ead21c-25cc-d200-bd4d-d33dafd2113b,KGW,organization,kgw,https://www.crunchbase.com/organization/kgw,390537,2014-09-23 07:52:41,2019-03-29 23:35:47,9fbdc0d1-470e-afd6-234d-00cee7668c65,NBC News
0a7c8bb2-7aa8-5144-54aa-a5659034d728,GoodBots,organization,goodbots,https://www.crunchbase.com/organization/goodbots,394778,2017-01-31 10:41:00,2018-02-13 00:46:19,c4430182-2895-c9d7-9ae5-73c6dabf52f2,Worthwhile Industries Campuses
c05dcd12-c560-47de-bc8a-7ca8fc8d6d52,"University Auxiliary Services, Inc., Cal State LA",organization,university-auxiliary-services-inc-cal-state-la,https://www.crunchbase.com/organization/university-auxiliary-services-inc-cal-state-la,563078,2018-10-24 22:07:22,2018-10-24 22:11:17,70be0197-3ad1-482b-b0aa-bdd814e4d4cd,Cal State LA
8e4c2212-0071-4c5d-93d6-1475cabe564f,SponPay,organization,sponpay,https://www.crunchbase.com/organization/sponpay,224477,2017-11-13 13:27:09,2018-11-24 19:37:05,d2960e0c-eb90-3120-aee4-8bd553afbc6e,"Transform Reality, Inc."
cda8629f-53d8-6012-805c-1fe3e851b13d,Footaction,organization,footaction,https://www.crunchbase.com/organization/footaction,188950,2016-06-12 09:04:30,2019-03-25 20:01:17,5c5f22fc-2253-6cd2-0ff1-484f095e4908,Foot Locker
ac7b673f-8859-434e-98d4-08632443ed42,County Bancorp,organization,county-bancorp,https://www.crunchbase.com/organization/county-bancorp,58835,2018-06-01 10:12:14,2018-08-11 05:21:42,da9087fd-ca6f-470a-97a0-02eab7ac4dde,Investors Community Bank
944b5b72-cbbe-c0f3-119c-adaf3e341642,Cuhk Business School,organization,cuhk-business-school,https://www.crunchbase.com/organization/cuhk-business-school,591624,2014-08-08 08:29:08,2018-02-12 23:59:06,c9aee04a-c6fa-ef22-fd94-a363d29b6737,The Chinese University of Hong Kong
56f8c066-090c-4193-891d-49ddc5c3a10e,eTELENIMA,organization,etelenima,https://www.crunchbase.com/organization/etelenima,313959,2018-04-15 14:03:01,2018-12-20 15:27:26,7eefe987-41ce-4ef3-30bf-6ed48097652e,TELENIMA
17467cf3-78af-2a26-7773-9c9b9c364884,Gevalia,organization,gevalia-com,https://www.crunchbase.com/organization/gevalia-com,324637,2011-05-30 21:07:03,2018-02-12 23:56:02,522c78a6-3d6e-aa59-94b7-b7c954d3c87f,Kraft Heinz
7c292ff8-4fc7-5b77-6004-bd440c25018a,PostAcumen,organization,postacumen,https://www.crunchbase.com/organization/postacumen,279276,2012-10-04 02:06:55,2019-03-25 19:12:36,cf3e8372-1970-8ce0-6b49-de7987b5bb89,EdgeRank Checker
bb243a3e-17a5-b19c-b1a2-475d7f6fe842,BitCasts,organization,bitcasts,https://www.crunchbase.com/organization/bitcasts,449206,2017-07-13 12:36:36,2018-10-26 22:01:34,af9ea1cc-02c8-9ad4-9257-11a67fd11d3f,ENVISIONX LTD
e166a03d-1589-4696-bac3-8c2f6c209f0d,motec ventures GmbH,organization,motec-ventures-gmbh,https://www.crunchbase.com/organization/motec-ventures-gmbh,181514,2018-06-07 12:18:53,2018-10-26 22:57:27,95c723a0-2de0-4582-b76c-07d55a06e97f,e&Co. AG
