uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits,revenue_range
96f38fd2-eaf3-7687-41ee-f16d9feca9ba,Forte Payment Systems,organization,forte-payment-systems,https://www.crunchbase.com/organization/forte-payment-systems,94378.0,2013-04-13 08:41:30,2018-10-26 22:19:31,,company,forte.net,http://www.forte.net,USA,TX,Texas,Allen,500 W. Bethany Suite 200,75013,acquired,Enterprise-Class Payment Solutions,"Developer APIs,Developer Tools,E-Commerce,Mobile,Mobile Payments,Payments","Commerce and Shopping,Financial Services,Mobile,Payments,Software",,,,,1998-10-01,,,101-250,jeff@forte.net,866.290.5400,http://www.facebook.com/fortepayments,https://www.linkedin.com/company/forte-payment-systems/,http://twitter.com/fortepayments,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397752205/0e67ff9b29f9aab9adef088e84e67575.jpg",,,,company,,
46c2875f-a521-4e3c-a8f0-dafd3e1e8ba4,Samford University's Ida Moffett School of Nursing,organization,samford-university-s-ida-moffett-school-of-nursing,https://www.crunchbase.com/organization/samford-university-s-ida-moffett-school-of-nursing,84190.0,2018-06-07 08:15:03,2018-09-07 21:45:21,,school,samford.edu,https://www.samford.edu/nursing/,GBR,,Birmingham,Birmingham,"800 Lakeshore Drive,",35229,operating,Ida Moffett School of Nursing has experienced significant growth and transformation since its foundation.,"Higher Education,Nursing and Residential Care,Universities","Education,Health Care",1.0,2100000.0,2100000.0,USD,1922-01-01,2018-06-06,,unknown,,,https://www.facebook.com/IdaVMoffettSchoolofNursing,,https://twitter.com/Samford_Nursing,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/bsfk6rfxozwmsov87gwu",,,,school,,
afd0fe80-7225-45ea-b7d5-3884a70d173d,WOKO,organization,woko,https://www.crunchbase.com/organization/woko,347882.0,2018-03-07 05:47:43,2019-04-02 14:18:22,,company,woko.fr,http://www.woko.fr/,FRA,,Rhone-Alpes,Lyon,,,operating,Woko is an Asian fast food Company.,Restaurants,Food and Beverage,1.0,,,,2006-01-01,2017-04-05,,11-50,, 04 78 59 78 26,https://www.facebook.com/wokofrance/,https://www.linkedin.com/company/woko-cantine-viet/about/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/zltcdy2h7s1hx631z02c",,,,company,,
6f351beb-a714-41d2-ab51-8f8ecfee73fc,CompleteCampaigns.com,organization,completecampaigns-com,https://www.crunchbase.com/organization/completecampaigns-com,349582.0,2009-08-18 19:06:40,2018-10-26 21:56:30,,company,completecampaigns.com,http://completecampaigns.com,USA,CA,California,San Diego,"3635 Ruffin Road, 3rd Floor",92123,acquired,"CompleteCampaigns.com offers four main products: BackOffice, the flagship product, for fundraising, accounting and contact management;","E-Commerce,Internet,Software","Commerce and Shopping,Internet Services,Software",,,,,2000-01-01,,,1-10,support@completecampaigns.com,888-217-9600,https://www.facebook.com/aristotlenews,https://www.linkedin.com/company/aristotle,https://www.twitter.com/aristotlenews,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397187963/4bb72501ea2ae7cbc5b8d72cee53f030.jpg",,,,company,,
d4193271-5711-e201-c850-db954c6bca3c,Azalle,organization,gz-digital-inc,https://www.crunchbase.com/organization/gz-digital-inc,259800.0,2016-03-31 19:54:46,2018-10-26 21:33:44,,company,azalle.com,https://azalle.com,USA,NY,New York,New York,379 W Broadway,10012,operating,"We're Azalle, a community of internet-obsessed digital experts.","Education,Social Media","Education,Internet Services,Media and Entertainment",,,,,2016-07-01,,,1-10,info@azalle.com,,https://www.facebook.com/azallecourses,,https://www.twitter.com/azallecourses,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1484763786/aqq5ixbdrsb68xfr8exw.png",,,,company,,
d9f5b65d-8b2a-4b2f-a9f3-5c4dbc17cc13,Limeyard brands,organization,limeyard-brands,https://www.crunchbase.com/organization/limeyard-brands,613965.0,2017-11-09 14:38:10,2018-10-26 22:42:36,,company,limeyardrestaurants.com,http://limeyardrestaurants.com/,GBR,,England,London,8 HIgh Street,W5 5DB,acquired,Limeyard brands is a french restaurant.,Restaurants,Food and Beverage,,,,,,,,unknown,info@limeyardrestaurants.com,,https://www.facebook.com/pg/LimeyardUK/,,https://twitter.com/limeyard,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/uiwmf3y4binngburhmpb",,,,company,,
532ec868-fed1-aa76-9668-506f1fed5f75,Rhode Island Airport Corporation,organization,rhode-island-airport-corporation,https://www.crunchbase.com/organization/rhode-island-airport-corporation,605693.0,2013-12-09 14:03:21,2019-03-25 18:55:46,,company,pvdairport.com,http://www.pvdairport.com,,,,,,,operating,Rhode Island Airport Corporation provides airport services for several airlines.,Travel,Travel and Tourism,,,,,1992-01-01,,,51-100,infodesk@pvdairport.com,4016912562,https://www.facebook.com/tfgreenairport,,https://www.twitter.com/tfgreenairport,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,$10M to $50M
ecba46c8-9c84-4737-95cb-ce853c150882,"Law Offices of Lee Steinberg, P.C.",organization,law-offices-of-lee-steinberg,https://www.crunchbase.com/organization/law-offices-of-lee-steinberg,475369.0,2013-11-24 18:17:26,2019-03-29 23:29:41,,company,1800leefree.com,http://www.1800leefree.com/,USA,MI,Michigan,Farmington Hills,30500 Northwestern Highway Suite 400,48334,operating,Protect your legal rights and call Lee Free at 1-800-LEE-FREE,Legal,Professional Services,,,,,1973-01-01,,,11-50,jsutton@trafficdigitalagency.com,8005333733,http://www.facebook.com/800LeeFree,https://www.linkedin.com/company/3644273,http://twitter.com/1800LeeFree,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1406051818/k1bl1xogotypke2mafw7.png",,,,company,,
0b96d395-e9db-8f16-4125-05c232589754,Unijobs,organization,unijobs,https://www.crunchbase.com/organization/unijobs,526416.0,2016-02-26 18:01:30,2018-02-12 23:49:40,,company,unijobs.holon.net,http://unijobs.holon.net,AUS,,Victoria,Brighton,12 & 75 Bay Street Brighton,3186,acquired,Global academic jobs website,"Enterprise Software,Human Resources,Recruiting","Professional Services,Software",,,,,2006-01-01,,,unknown,info@op.ac.nz,+64 3 445 9900,https://www.facebook.com/unijobs.holon,https://www.linkedin.com/company/213448,https://twitter.com/Unijobs,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,
1c5aa1cf-b4ac-afad-289b-45c20eeb4e22,TRI Dental Implants,organization,tri-dental-implants,https://www.crunchbase.com/organization/tri-dental-implants,165107.0,2014-09-12 07:12:23,2019-03-25 19:55:15,TRI Dental Implants Int. AG,company,tri-implants.com,http://www.tri-implants.com,CHE,,Zug,Hünenberg,Bösch 80A,CH-6331 ,operating,"TRI Dental Implants develops, designs, and manufactures dental implant systems.","Dental,Health Care,Manufacturing,Medical,Medical Device","Health Care,Manufacturing",1.0,,,,2011-12-01,2014-09-11,,101-250,info@tri-implants.swiss,+41 32 510 1600,http://www.facebook.com/TRIDentalImplants,http://www.linkedin.com/company/tri-dental-implants-int-ag,http://twitter.com/TRIdentimplants,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1410505912/ojcrfn3s4u24cms5l8ub.jpg",TRI,,,company,,Less than $1M
8bb6bd1f-f7ad-ae56-4f9e-cf5610d88816,NotifyVisitors,organization,notifyvisitors,https://www.crunchbase.com/organization/notifyvisitors,109234.0,2017-07-13 06:52:12,2019-03-25 20:05:44,,company,notifyvisitors.com,https://www.notifyvisitors.com/,USA,NY,New York,New York,25 Broadway 5th Floor Suite 5055,10004,operating,Notifyvisitors is simplest marketing automation software.,"Digital Marketing,Marketing,Software","Sales and Marketing,Software",,,,,,,,11-50,support@tagnpin.com,+1 415-580-6216,https://www.facebook.com/pg/notifyvisitors/,https://www.linkedin.com/company/notifyvisitors/,https://twitter.com/notifyvisitors,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/wqnx1isqfvx5ud3qxlcm",,,,company,,Less than $1M
dd460c62-31db-4fad-a1e2-11149f274415,Sellbitbuy,organization,sellbitbuy,https://www.crunchbase.com/organization/sellbitbuy,422333.0,2018-03-15 08:52:42,2018-10-26 23:05:14,,company,sellbitbuy.net,https://sellbitbuy.net,IND,,Tamil Nadu,Madurai,"No 22, Astalakshmi street, Lion City, Madurai, Tamil Nadu 625006",625006,operating,Sellbitbuy is an software company provides trading software for cryptocurrency. It helps the businessmen to start own crypto trading website,"Bitcoin,Cryptocurrency,Software","Financial Services,Payments,Software",,,,,2016-01-03,,,101-250,sellbitbuy@osiztechnologies.in,9791703519,https://www.facebook.com/Sellbitbuy-Local-Bitcoin-Exchange-Trading-Script-1226741424008061/,https://www.linkedin.com/in/sellbit-buy-3b3178121/,https://twitter.com/Sellbitbuy,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/q5mzo2z4bjae0d7qhwgh",,,,company,,
185f104f-62f0-d4e5-5ee9-d3d71f75fa35,University of Maiduguri,organization,university-of-maiduguri,https://www.crunchbase.com/organization/university-of-maiduguri,609667.0,2017-01-04 05:59:44,2018-02-12 23:55:56,,school,unimaid.edu.ng,http://www.unimaid.edu.ng,,,,,,,operating,The vision of the University is to be a first class institution committed to imparting knowledge and to extending its frontiers.,,,,,,,1975-01-01,,,251-500,,+234 8000-000-000,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1483509557/gj3qjrnfbpezlvjhpufo.png",,,,school,,
0c4258e8-1c8c-3cc5-6b01-4447eb1a8b5f,Genwealth Venture Partners,organization,genwealth-venture-partners,https://www.crunchbase.com/organization/genwealth-venture-partners,178069.0,2013-01-30 19:13:44,2018-02-12 23:35:47,,investor,genwealthlp.com,http://www.genwealthlp.com,CAN,ON,Ontario,Toronto,51 Wolseley Street Ontario,M5T 1A4,operating,Genwealth Venture Partners is an entrepreneur-centric investment fund that finances early stage technology companies.,,,,,,,2011-01-01,,,1-10,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397178886/b57dd9c50c515cdcf2103462565c34a1.jpg",,,,investor,,
29b8dcda-0a03-4bab-afe5-50843817b0ca,Coolturebox,organization,coolturebox,https://www.crunchbase.com/organization/coolturebox,67110.0,2018-11-02 09:57:52,2018-11-02 09:57:52,,company,coolturebox.com,https://coolturebox.com/,ESP,,Madrid,Las Rozas,C / CHILE,28290,operating,Coolturebox is a company which is the best selection of cultural leisure.,Leisure,Community and Lifestyle,1.0,195388.0,171590.0,EUR,,2018-11-02,,unknown,CUSTOMERS@COOLTUREBOX.COM,902 599 996,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/ctjlvsrkojgf9zhk3loj",,,,company,,
c027ad81-3380-46bd-8144-7cb55035f68e,Adani Transmission,organization,adani-transmission,https://www.crunchbase.com/organization/adani-transmission,290851.0,2018-04-25 09:22:42,2019-03-25 19:47:29,,company,adanitransmission.com,http://www.adanitransmission.com/,IND,,Gujarat,Ahmedabad,,,operating,Adani Transmission is one of the largest private sector power transmission companies.,Energy,Energy,,,,,,,,unknown,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/qz3eqsqwtcfvbmpnmgpj",,,,company,,$100M to $500M
1aee6e06-abcd-43e8-b6ea-36f53dd32123,WTSP-TV,organization,wtsp-tv,https://www.crunchbase.com/organization/wtsp-tv,356576.0,2017-11-10 19:55:55,2019-03-30 00:29:25,,company,wtsp.com,http://wtsp.com,,,,,,,operating,"WTSP-TV is a broadcast media company offering news, breaking news, weather, and live streaming services.","Broadcasting,Digital Media,News,Publishing","Content and Publishing,Media and Entertainment,Video",,,,,,,,101-250,tips@wtsp.com,727-577-8550,https://www.facebook.com/10newswtsp,,https://www.twitter.com/wtsp10news,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1509763544/q24etldzt4jgijv2e0fj.png",,,,company,,
0e00195a-d6d4-1cbd-cc4a-5882d5695d94,University of Salford,organization,university-of-salford,https://www.crunchbase.com/organization/university-of-salford,168950.0,2014-09-26 11:56:12,2018-06-11 06:19:51,,school,salford.ac.uk,http://www.salford.ac.uk,GBR,,Oxfordshire,Salford,The Crescent,M5 4WT,operating,University of Salford is an institute of higher learning that offers both graduate and undergraduate programs.,Universities,,,,,,1850-01-01,,,unknown,,,http://www.facebook.com/salforduni,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1440498454/ubcdgd4dktrjo4iwavfd.jpg",,,,school,,
847b8746-22d9-6fb4-7f5b-685bf0ece33e,Garagista Media,organization,garagista-media,https://www.crunchbase.com/organization/garagista-media,477558.0,2015-02-04 17:15:14,2018-10-26 22:18:15,,company,garagistamedia.com,http://garagistamedia.com/,NZL,,Auckland,Warkworth,,,operating,"Marketing, PR, journalism, SEO and social media strategy to accelerate your business.","Public Relations,SEO,Social Media","Internet Services,Media and Entertainment,Sales and Marketing",,,,,,,,unknown,hello@garagistamedia.com,6494250378,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1423070100/dbjqmzmb7t21cumwjq8f.png",,,,company,,
19f41267-dbcf-8e5f-5cf5-23f71eab472b,Indovance,organization,indovance,https://www.crunchbase.com/organization/indovance,242004.0,2009-05-25 13:46:43,2019-03-29 23:47:32,,company,indovance.com,http://www.indovance.com,USA,NC,North Carolina,Cary,412 Chime Ct.,27519,operating,Indovance is one of Indiaâ€™s leading CAD and drafting outsourcing services provider with itâ€™s design and drafting office located in,Consulting,,,,,,2003-01-01,,,51-100,info@indovance.com,+1 (919) 238-4044,http://www.facebook.com/indovance,http://www.linkedin.com/company/indovance-inc.,https://www.twitter.com/indovance,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397209050/155acff97bf2c448ea02539948dbe984.png",,,,company,,
b5027981-e3ac-6b4a-4528-6f6fab4ffe0c,Wall & Broadway,organization,wall-broadway,https://www.crunchbase.com/organization/wall-broadway,471679.0,2016-09-20 05:35:25,2018-02-12 23:59:19,,company,wallbroadway.com,http://www.wallbroadway.com/,USA,CA,California,Rancho Santa Fe,P.O Box 3742,92067,acquired,"Wall & Broadway straightforward, bespoke and modular public relations services for start-ups who understand the power of customer.","Communities,Public Relations","Community and Lifestyle,Sales and Marketing",,,,,2016-01-01,,,1-10,,(858)373-7052,https://www.facebook.com/wallbroadway/,https://www.linkedin.com/company/wall-&-broadway,https://twitter.com/wall_broadway,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1474349652/inyqag1rpojy4nvllxq7.png",,,,company,,
609af976-1c25-b1b3-9f9c-2a98d7feb7d1,AutomationDirect,organization,automationdirect,https://www.crunchbase.com/organization/automationdirect,150852.0,2014-07-24 15:36:19,2019-03-25 20:03:07,,company,automationdirect.com,http://www.automationdirect.com/,,,,,,,operating,"AutomationDirect is a distributor of 10,000+ industrial automation products, such as Programmable Logic Controllers (PLCs) & much more.","Electronics,Hardware,Manufacturing","Consumer Electronics,Hardware,Manufacturing",,,,,1994-01-01,,,251-500,info@automationdirect.com,7708444211,https://www.facebook.com/automationdirect,https://www.linkedin.com/company/automationdirect,http://twitter.com/AutomationDirec,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1406215961/i7nsssj0hldgiuvcobag.jpg",,,,company,,$100M to $500M
c78ff57e-9a9c-0860-e6ba-beb4b977e75a,Attocube,organization,attocube,https://www.crunchbase.com/organization/attocube,687173.0,2014-07-26 11:46:53,2018-07-23 07:13:29,,company,,,KOR,,Seoul-t'ukpyolsi,Seoul,Gangnam-gu Dogok 2(i)-dong Building No. 517-10 KAIST 205-1,135854,operating,Atto Cube is an online game platform for children to play educational and mind games.,"Children,Education,Gaming","Education,Gaming",,,,,2014-03-24,,,501-1000,,+1 718-606-9851,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1406375197/nvb22abdnrtrjbgjbawg.jpg",아토큐브,,,company,,
dd68e7d0-b9ea-3c7a-00c8-b1c6fb580e3c,Shuford Insurance Agency,organization,shuford-insurance-agency,https://www.crunchbase.com/organization/shuford-insurance-agency,746630.0,2017-05-23 11:28:50,2018-02-12 23:51:06,,company,,,USA,NC,North Carolina,Concord,"1036 Branchview Drive, NE Suite 100",28025,acquired,Shuford Insurance is an independent insurance agency offering personal and commercial property/casualty insurance products and services.,Insurance,Financial Services,,,,,1938-01-01,,,unknown,,(704)788-2125,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,
6e1acc60-9624-187f-4bae-8104b91a26b1,Haskell Communications Pvt. Ltd,organization,haskell-communications-pvt-ltd,https://www.crunchbase.com/organization/haskell-communications-pvt-ltd,567999.0,2016-06-13 13:31:52,2019-03-25 20:02:06,,company,slc-haskell.com,http://slc-haskell.com/,IND,,Karnataka,Bangalore,215/1 2nd Main 7th Cross Indiranagar 1st Stage,560084,operating,"Haskell Communications Pvt. Ltd., provides niche project management and deployment services in the telecom space.","CRM,Information Technology,Telecommunications,Virtual Reality","Hardware,Information Technology,Sales and Marketing,Software",,,,,2008-01-01,,,11-50,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,$1M to $10M
634f4620-10bf-400e-8ef6-3875a260e46e,Whynatte Enterprises,organization,whynatte-enterprises,https://www.crunchbase.com/organization/whynatte-enterprises,400218.0,2018-05-11 06:11:20,2019-03-25 20:26:12,,company,whynatte.com,http://www.whynatte.com,USA,GA,Georgia,Atlanta,745 Edgewood Avenue NE,30307,operating,Whynatte Enterprises is a beverage company that produces and sells ready-to-drink coffees.,Food and Beverage,Food and Beverage,1.0,,,,2009-01-01,2014-02-09,,1-10,,,https://www.facebook.com/whynatte,https://www.linkedin.com/company/whynatte-enterprises-llc,https://twitter.com/whynatte,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/gnodwrxuirt49whfnjld",,,,company,,Less than $1M
1f19206c-6ec6-42d4-9204-2e55fb8ad3bd,Fully Functional,organization,fully-functional,https://www.crunchbase.com/organization/fully-functional,473976.0,2018-12-03 00:02:40,2018-12-03 00:02:40,,company,fullyfunctional.com.au,https://fullyfunctional.com.au/,,,,,,,operating,Allied Healthcare and Health resource website,"Health Care,Health Diagnostics,Personal Health",Health Care,,,,,,,,unknown,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,
