uuid,name,type,permalink,cb_url,rank,created_at,updated_at,entity_uuid,entity_name,entity_type,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code
94cd8111-8ad4-479c-9847-e54d06308c71,Vanguard VI,fund,vanguard-ventures-raised-vanguard-vi--94cd8111,https://www.crunchbase.com/fund/vanguard-ventures-raised-vanguard-vi--94cd8111,,2018-07-05 11:13:56,2018-07-05 11:13:56,c392e58f-62cf-6110-da8c-c20440a0a315,Vanguard Ventures,organization,1998-01-01,,,
0652a059-0103-450c-0cbb-1a72dcc3f323,Eclipse Fund II,fund,eclipse-ventures-raised-eclipse-fund-ii--0652a059,https://www.crunchbase.com/fund/eclipse-ventures-raised-eclipse-fund-ii--0652a059,,2017-01-11 12:54:33,2018-02-12 23:51:49,a0fff4af-daff-56e5-80e1-d490f55afd4b,Eclipse Ventures,organization,2017-01-11,183775000.0,183775000.0,USD
92f56b4d-12ae-ae44-d9d9-9af23ad81e81,Fifth Wall Ventures,fund,fifth-wall-ventures-management-raised-fifth-wall-ventures--92f56b4d,https://www.crunchbase.com/fund/fifth-wall-ventures-management-raised-fifth-wall-ventures--92f56b4d,,2016-12-14 04:12:36,2018-02-12 23:57:16,4864536d-721b-1d98-ea6b-8d06a3ba3222,Fifth Wall,organization,2017-05-02,212000000.0,212000000.0,USD
57cd107a-9d47-0fa8-927d-33fda7708022,SBX LP1,fund,southbox-raised-sbx-lp1--57cd107a,https://www.crunchbase.com/fund/southbox-raised-sbx-lp1--57cd107a,,2017-03-11 11:51:13,2018-02-13 01:18:09,fc29c117-0fbc-7faf-33b5-72d91f7a7ee3,Southbox,organization,2017-10-01,30000000.0,30000000.0,USD
52ca43b9-65f1-1a40-7890-27ef1e7b843b,True Capital Partners Buyout Fund II,fund,trueglobal-raised-true-capital-partners-buyout-fund-ii--52ca43b9,https://www.crunchbase.com/fund/trueglobal-raised-true-capital-partners-buyout-fund-ii--52ca43b9,,2017-03-17 11:47:01,2018-02-12 22:13:12,5e82fe09-bce0-4a7c-852f-a4fd283692bf,True.,organization,2017-03-16,123498718.0,100000000.0,GBP
f373153b-44ba-dff2-37d8-865174e1f3fa,Norwest Mezzanine Partners II,fund,norwest-mezzanine-partners-raised-norwest-mezzanine-partners-ii--f373153b,https://www.crunchbase.com/fund/norwest-mezzanine-partners-raised-norwest-mezzanine-partners-ii--f373153b,,2016-03-18 21:32:43,2018-02-13 01:18:07,63eb8719-2957-f55c-7504-e823fcfa503b,Norwest Mezzanine Partners,organization,2004-01-01,400000000.0,400000000.0,USD
0da33ea1-39a9-4779-b0e9-500d85b0b06c,Partners Innovation Fund,fund,partners-healthcare-raised-partners-innovation-fund--0da33ea1,https://www.crunchbase.com/fund/partners-healthcare-raised-partners-innovation-fund--0da33ea1,,2017-11-09 05:39:00,2018-11-08 19:12:16,574d02b0-a6a5-3eda-8ec7-5c110747af50,Partners HealthCare,organization,2017-11-08,105000000.0,105000000.0,USD
a9a23eaf-b76b-4ca9-adab-dbc46d15fd40,Fund I,fund,rio-investment-partners-raised-fund-i--a9a23eaf,https://www.crunchbase.com/fund/rio-investment-partners-raised-fund-i--a9a23eaf,,2019-04-02 12:23:14,2019-04-02 12:23:14,a2b94aad-aa6f-44f8-aae5-daebbd74955a,Rio Investment Partners,organization,2019-04-02,77500000.0,77500000.0,USD
bd5cc245-dc91-25d8-f3b1-f23d21b2c9a5,TAC ACP I,fund,atlantic-capital-partners-raised-tac-acp-i--bd5cc245,https://www.crunchbase.com/fund/atlantic-capital-partners-raised-tac-acp-i--bd5cc245,,2014-07-15 18:15:52,2018-02-13 01:18:10,a11b5c2f-5c42-5722-32f4-2a6fceba0da7,TA Capital,organization,2010-01-17,50000000.0,50000000.0,USD
7ec3c0b9-7f36-17ef-c1f9-c1da1c1d6c05,Avet Fonsinnocat FCR,fund,avet-ventures-raised-avet-fonsinnocat-fcr--7ec3c0b9,https://www.crunchbase.com/fund/avet-ventures-raised-avet-fonsinnocat-fcr--7ec3c0b9,,2016-04-23 05:54:06,2018-02-13 01:18:08,6e5667dd-c5bc-2fe0-a034-8a4f2251f661,Avet Ventures,organization,2002-05-02,18060321.0,20000000.0,EUR
0494d788-4248-4c72-23ab-90fa2a7943fa,Madrona Venture Fund VI,fund,madrona-venture-group-raised-madrona-venture-fund-vi--0494d788,https://www.crunchbase.com/fund/madrona-venture-group-raised-madrona-venture-fund-vi--0494d788,,2015-06-04 11:59:08,2019-04-23 06:13:57,cf253887-5eac-21a2-28d3-47db7311f7e9,Madrona Venture Group,organization,2015-06-04,300000000.0,300000000.0,USD
b985e20e-243e-b026-759f-67fa4842cf58,Prudential Capital Partners III,fund,prudential-capital-partners-raised-prudential-capital-partners-iii--b985e20e,https://www.crunchbase.com/fund/prudential-capital-partners-raised-prudential-capital-partners-iii--b985e20e,,2010-01-21 02:45:58,2018-02-12 23:56:09,a2626400-b3a8-b7ac-33fe-0bd019af0f80,Prudential Capital Partners,organization,2010-01-20,965000000.0,965000000.0,USD
e0e371e9-bd2c-4084-b0c7-50bbb8a857fa,Makara Innovation Fund,fund,makara-capital-raised-makara-innovation-fund--e0e371e9,https://www.crunchbase.com/fund/makara-capital-raised-makara-innovation-fund--e0e371e9,,2018-07-05 05:49:31,2018-07-05 05:49:31,6b1002f3-b4a8-4b90-b128-02f1be741962,Makara Capital,organization,2018-07-05,150000000.0,150000000.0,USD
90302b4e-2338-17f0-2a61-6bd5c7b01d19,CapitalPitch Ventures Fund 1,fund,,,,2017-08-04 09:21:49,2018-07-31 02:40:37,,,,2016-05-31,7703630.0,10650000.0,AUD
d15fb6d0-67ae-f819-aabf-083b9723fab7,Business Angel Co-investment Loan Facility,fund,finance-south-east-raised-business-angel-co-investment-loan-facility--d15fb6d0,https://www.crunchbase.com/fund/finance-south-east-raised-business-angel-co-investment-loan-facility--d15fb6d0,,2010-10-12 13:21:09,2018-02-12 23:56:04,97db51a7-ac68-ed99-8988-25d1807bb0d3,The FSE Group,organization,2010-10-12,1976465.0,1250000.0,GBP
534fdb6e-1fc2-4421-9188-275d1f52b1e9,AB Value Bridge VI,fund,ab-value-capital-partners-raised-ab-value-bridge-vi--534fdb6e,https://www.crunchbase.com/fund/ab-value-capital-partners-raised-ab-value-bridge-vi--534fdb6e,,2018-01-15 10:39:06,2018-10-26 18:56:03,6b639ba7-fb43-443b-b3fa-b55dce933e7b,AB Value Capital Partners,organization,2018-01-11,100000000.0,100000000.0,USD
09068f11-6de6-801c-7cfa-38ce98dbe64c,Club Italia Investmenti,fund,nanabianca-raised-club-italia-investmenti--09068f11,https://www.crunchbase.com/fund/nanabianca-raised-club-italia-investmenti--09068f11,,2014-09-23 20:13:25,2018-02-13 01:18:07,2d842249-b3de-680b-8843-ec0e7b8a34e8,Nanabianca,organization,2012-01-01,,,
bb43ff26-4697-4c48-ae6e-6e460df9c119,MRCF 5,fund,brandon-capital-partners-raised-mrcf-5--bb43ff26,https://www.crunchbase.com/fund/brandon-capital-partners-raised-mrcf-5--bb43ff26,,2019-05-01 03:31:21,2019-05-01 03:31:52,d9604629-9078-ee4d-2026-f1cbe57c6a97,Brandon Capital Partners,organization,2019-04-30,210000000.0,210000000.0,USD
58a33e98-b735-4172-833c-b707546f3eeb,LDV Capital II,fund,ldv-capital-raised-ldv-capital-ii--58a33e98,https://www.crunchbase.com/fund/ldv-capital-raised-ldv-capital-ii--58a33e98,,2018-02-02 03:55:09,2018-02-12 23:24:06,64a6fe08-0623-7992-fe04-704fe468173d,LDV Capital,organization,2018-02-01,10000000.0,10000000.0,USD
4f4b3746-3865-40da-af2a-87d0b3f0c1bb,Brynwood Partners VIII,fund,brynwood-partners-raised-brynwood-partners-viii--4f4b3746,https://www.crunchbase.com/fund/brynwood-partners-raised-brynwood-partners-viii--4f4b3746,,2018-01-04 04:21:42,2018-02-12 23:57:27,3666f515-3bc8-d9c5-6f32-3afcec21ddfc,Brynwood Partners,organization,2018-01-22,649000000.0,649000000.0,USD
7f10c52c-1eff-580d-3448-a30e9cd49531,"GoldPoint Partners Co-Investment V, L.P.",fund,goldpoint-partners-raised-goldpoint-partners-co-investment-v--l-p---7f10c52c,https://www.crunchbase.com/fund/goldpoint-partners-raised-goldpoint-partners-co-investment-v--l-p---7f10c52c,,2015-01-22 05:39:33,2018-02-12 23:23:47,1f47f40f-8c01-452c-e299-8f96e7f20cf0,GoldPoint Partners,organization,2015-01-20,675000000.0,675000000.0,USD
51914f73-6fc4-956a-fd3f-e9e1cd3d95e1,Summit Partners Venture Capital Fund III,fund,summit-partners-raised-summit-partners-venture-capital-fund-iii--51914f73,https://www.crunchbase.com/fund/summit-partners-raised-summit-partners-venture-capital-fund-iii--51914f73,,2014-05-31 12:00:38,2018-02-12 23:44:42,440cca37-786e-6808-1085-b5524c33e875,Summit Partners,organization,2012-01-01,520000000.0,520000000.0,USD
a740484e-4d79-4b45-00de-f2a16c25f410,JPV,fund,jerusalem-venture-partners-raised-jpv--a740484e,https://www.crunchbase.com/fund/jerusalem-venture-partners-raised-jpv--a740484e,,2015-04-12 18:31:05,2018-02-13 01:18:07,eee2bee2-acca-12c3-7dd0-98c237540a84,Jerusalem Venture Partners (JVP),organization,1993-01-01,20000000.0,20000000.0,USD
6b61ca79-c229-981e-61bb-c5fd88e3781b,TTV Fund IV,fund,ttv-capital-raised-ttv-fund-iv--6b61ca79,https://www.crunchbase.com/fund/ttv-capital-raised-ttv-fund-iv--6b61ca79,,2016-08-17 04:33:45,2018-02-12 23:39:26,355f3d08-b0a4-abe3-9503-9dc697bc8f37,TTV Capital,organization,2017-03-16,93000000.0,93000000.0,USD
9780f3b1-1121-4215-af47-139f81054d9f,Orion Mine Finance Fund II,fund,orion-resource-partners-raised-orion-mine-finance-fund-ii--9780f3b1,https://www.crunchbase.com/fund/orion-resource-partners-raised-orion-mine-finance-fund-ii--9780f3b1,,2018-02-12 10:54:30,2018-02-12 22:33:03,0caa4574-5de5-6761-0902-c6e27371ec67,Orion Resource Partners,organization,2018-02-09,2100000000.0,2100000000.0,USD
b542e26e-6050-856d-9ad4-18ce2a8b63df,"Rosecliff Venture Partners, LP",fund,rosecliff-ventures-raised-rosecliff-venture-partners--lp--b542e26e,https://www.crunchbase.com/fund/rosecliff-ventures-raised-rosecliff-venture-partners--lp--b542e26e,,2017-02-22 16:10:38,2018-02-12 23:10:46,7bd1776f-a820-d475-f4bc-b87a736eb4fb,Rosecliff Ventures,organization,2016-11-14,18320000.0,18320000.0,USD
eb880e4c-b6dd-4775-bcc2-ca484121dcf9,BRM Capital Fund,fund,brm-capital-raised-brm-capital-fund--eb880e4c,https://www.crunchbase.com/fund/brm-capital-raised-brm-capital-fund--eb880e4c,,2018-07-04 12:01:21,2018-07-04 12:01:21,773c4c7c-b956-6f58-226b-875f09f093cd,BRM Capital,organization,2002-07-08,150000000.0,150000000.0,USD
dc914e6d-9803-558c-95bb-597ee7f5a645,BOM Capital Biobased Fund Brabant,fund,brabantse-ontwikkelings-maatschappij-bom-raised-bom-capital-biobased-fund-brabant--dc914e6d,https://www.crunchbase.com/fund/brabantse-ontwikkelings-maatschappij-bom-raised-bom-capital-biobased-fund-brabant--dc914e6d,,2014-05-06 13:22:45,2018-02-12 23:56:03,550d270e-d098-1bd7-f1fd-6d18d1c1b37a,BOM Capital,organization,2012-09-11,12849490.0,10000000.0,EUR
203a1f4e-aee3-17c4-e007-f229954f745d,Freeman Spogli Fund VII,fund,freeman-spogli-raised-freeman-spogli-fund-vii--203a1f4e,https://www.crunchbase.com/fund/freeman-spogli-raised-freeman-spogli-fund-vii--203a1f4e,,2014-10-23 03:49:27,2018-02-12 23:46:30,9c1d5016-32a2-95c1-4527-927812288732,Freeman Spogli,organization,2014-10-22,1300000000.0,1300000000.0,USD
289e0863-6e91-44a5-90e6-f23170e577f6,Poplar Ventures L.P.,fund,poplar-ventures-raised-poplar-ventures-l-p---289e0863,https://www.crunchbase.com/fund/poplar-ventures-raised-poplar-ventures-l-p---289e0863,,2019-03-07 23:27:11,2019-03-08 03:26:30,9e7351c5-a9a2-1b15-3d43-3f54154e30ee,Poplar Ventures,organization,2019-03-07,17000000.0,17000000.0,USD
3c90596d-b21b-9732-e298-a8caa89143d1,Bridge Line Ventures,fund,bridge-line-ventures-raised-bridge-line-ventures--3c90596d,https://www.crunchbase.com/fund/bridge-line-ventures-raised-bridge-line-ventures--3c90596d,,2017-05-25 03:50:50,2018-02-12 23:46:35,ff8ab801-f068-89ee-e7ac-06ce72997379,Bridge Line Ventures,organization,2017-05-23,2003998.0,2003998.0,USD
ecdd0ab0-193c-458c-b494-3f72760a6a54,China Materialia Venture Capital Fund I,fund,china-materialia-raised-china-materialia-venture-capital-fund-i--ecdd0ab0,https://www.crunchbase.com/fund/china-materialia-raised-china-materialia-venture-capital-fund-i--ecdd0ab0,,2019-03-11 21:01:09,2019-03-11 21:01:09,183e661f-667b-54e2-c9dd-2f7b299208eb,China Materialia,organization,2011-06-20,23162832.0,150000000.0,CNY
4dc8cf56-d236-4d84-9101-fb27eed353f2,Comeback Capital Fund,fund,comeback-capital-raised-comeback-capital-fund--4dc8cf56,https://www.crunchbase.com/fund/comeback-capital-raised-comeback-capital-fund--4dc8cf56,,2018-10-17 06:44:56,2018-10-17 06:44:56,e2552404-3bc6-43b0-acdf-e30acef5e6e0,Comeback Capital,organization,2018-10-16,2250000.0,2250000.0,USD
aa689997-e4c8-daf2-66c3-00b68b708c23,Flagship Pioneering Fund VI,fund,flagship-ventures-raised-flagship-pioneering-fund-vi--aa689997,https://www.crunchbase.com/fund/flagship-ventures-raised-flagship-pioneering-fund-vi--aa689997,,2017-09-16 03:35:29,2018-02-12 23:32:23,f708ad5d-f30a-e2d4-71df-d944148fe151,Flagship Pioneering,organization,2017-09-14,618000000.0,618000000.0,USD
66cdfab3-7649-d0ce-33d7-9f7f8bbad09c,The Paragon Fund I,fund,paragon-partners-raised-the-paragon-fund-i--66cdfab3,https://www.crunchbase.com/fund/paragon-partners-raised-the-paragon-fund-i--66cdfab3,,2015-07-07 07:58:43,2018-02-13 01:18:07,88d266a4-7804-db8a-8281-a6addfd3b0bf,Paragon Partners,organization,2008-07-01,350396484.0,222000000.0,EUR
60f8bfea-2453-4bc6-882d-4c44787b69a4,Real Estate Credit Fund III,fund,calmwater-capital-raised-real-estate-credit-fund-iii--60f8bfea,https://www.crunchbase.com/fund/calmwater-capital-raised-real-estate-credit-fund-iii--60f8bfea,,2018-01-17 04:40:48,2018-02-12 23:51:36,9f223037-e056-4b0c-a8c6-aa94deefbb6f,Calmwater Capital,organization,2018-01-16,636000000.0,636000000.0,USD
17c27f0e-1622-4a3c-a030-b1a24a6f376c,M33 Growth I,fund,m33-growth-raised-m33-growth-i--17c27f0e,https://www.crunchbase.com/fund/m33-growth-raised-m33-growth-i--17c27f0e,,2017-10-14 03:16:27,2018-10-26 18:56:01,df397524-a674-40bc-b6c1-3efffea0575d,M33 Growth,organization,2017-10-13,180000000.0,180000000.0,USD
1a79fabe-094d-633c-2b43-4f8bf32dbc42,Newfund1,fund,newfund-management-raised-newfund1--1a79fabe,https://www.crunchbase.com/fund/newfund-management-raised-newfund1--1a79fabe,,2015-05-15 22:00:47,2018-02-13 01:18:07,d462f295-ccea-63d9-6048-fdea0f4e2d5e,Newfund Capital,organization,2008-09-01,105303801.0,72000000.0,EUR
7569defb-d65d-a6d7-835f-22f985b1c4ff,Mozaik Impact Fund,fund,mozaik-foundation-raised-mozaik-impact-fund--7569defb,https://www.crunchbase.com/fund/mozaik-foundation-raised-mozaik-impact-fund--7569defb,,2017-06-30 18:54:17,2018-02-13 01:18:09,8d86a493-a1af-a6dd-2182-da202a087010,Mozaik Foundation,organization,2013-11-10,6680321.0,5000000.0,EUR
d546de30-3449-4644-93ee-d154590d0b87,Fund I,fund,almaz-capital-raised-fund-i--d546de30,https://www.crunchbase.com/fund/almaz-capital-raised-fund-i--d546de30,,2017-11-02 15:54:07,2018-02-13 00:03:59,a024143e-96b0-fe53-7638-192dfc3d5a7d,Almaz Capital,organization,,,72000000.0,USD
