uuid,name,type,permalink,cb_url,rank,created_at,updated_at,person_uuid,person_name,institution_uuid,institution_name,degree_type,subject,started_on,completed_on,is_completed
4ed04249-80f5-da50-2a14-c2f97f993c62,BBA  Bachelors Business Administration @ University of North Texas,degree,,,,2016-04-01 04:49:16,2018-02-13 01:41:01,bb71c5bd-dd59-fa30-52ab-59175834059c,John Haag,0b106c7f-9e7d-0c54-05c6-ffb10d313cf2,University of North Texas,BBA,Bachelors Business Administration,,,False
cf0daeac-c659-7df2-105d-f6d79488877b,MBA  unknown @ Stanford University,degree,,,,2013-06-20 01:09:12,2018-02-13 01:43:32,90247a81-6dcf-dba5-0c03-564317f68c24,Adam Block,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,MBA,unknown,,2004-01-01,True
5494fc71-3261-47ce-a459-ef9db576c726,Juris Doctorate  Law @ Loyola Law School,degree,,,,2018-11-16 10:17:11,2018-11-16 10:17:11,36e94141-af8d-4a07-b2ee-53971a7d58f5,John P. Benson,81c756c1-31f1-940c-6e8a-9d39713cd33a,Loyola Law School,Juris Doctorate,Law,1984-01-01,1988-01-01,True
526e9859-e301-3319-8cf0-e1e7805e63ad,"Bachelor  Geology @ Birkbeck, University of London",degree,,,,2017-06-15 09:43:20,2018-02-13 01:41:06,422e31e0-8874-1707-bfb9-2eef9b4eec86,Jennifer Daothong,30641565-230b-2f0e-d4e9-7296bd175e02,"Birkbeck, University of London",Bachelor,Geology,,,False
b5e696cd-2148-461e-a9dd-82f2952bfb68,"Bachelor of Economics  Information Technology, Economics, Operations Research @ University of Sydney",degree,,,,2018-05-22 05:15:40,2018-05-22 05:15:40,6d6126f9-7599-4a55-8b37-344b9b778903,Stuart Pook,89b9eb4b-d4d9-a1c5-f79f-a564669ba089,University of Sydney,Bachelor of Economics,"Information Technology, Economics, Operations Research",1983-01-01,1987-01-01,True
df0bb2e7-fc15-481a-ab02-80ebff1ba318,,degree,,,,2019-01-10 04:56:09,2019-01-10 04:56:09,2634658d-68ea-49f0-a960-50f6f8aee644,Michael Cohn,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,MBA,,,,False
9f0db469-3016-7999-3294-ac920150e759,MBA  unknown @ Emory University,degree,,,,2014-08-19 10:22:06,2018-02-13 01:42:40,3d63790e-a559-f388-bd6b-a2495290a674,Howard T. Walpole,269fb558-6dab-3525-c28c-f6c1bb2f9687,Emory University,MBA,unknown,,,False
23626f30-d9a4-4c52-acfe-9882d45c5f06,MSc  Applied Anthropology @ University of North Texas,degree,,,,2018-09-29 05:07:53,2018-09-29 05:07:53,fbcc0fb0-bfde-45bb-a14f-b57f69a34258,Lynne Russell,0b106c7f-9e7d-0c54-05c6-ffb10d313cf2,University of North Texas,MSc,Applied Anthropology,2006-01-01,2008-01-01,True
3aaa970b-9cf5-43ae-894e-e14962b66b2d,Master of Science (MSc)  Management of Technology @ Delft University of Technology,degree,,,,2018-05-21 11:09:25,2018-05-21 11:09:25,4df15b2c-9367-4c1f-a20b-7685f7acb757,Jorrit Vervoordeldonk,116b9768-64c3-7533-a7e8-a3c573816c4e,Delft University of Technology,Master of Science (MSc),Management of Technology,2014-01-01,2017-01-01,True
89b0ad03-6f72-40c3-96cc-4c458b655ddc,Master's degree  Economics @ LUISS Guido Carli University,degree,,,,2017-10-11 11:42:26,2018-02-13 00:02:36,cdd7ce85-3946-43a4-9278-360bf0a36175,Mario Stumpo,2e375064-9c44-d3f4-f5da-66509b3de5fa,LUISS Guido Carli University,Master's degree,Economics,2012-01-01,2014-01-01,True
9d9c8b0a-35f6-fb0a-b4ab-d3a3a600e1f9,LLB  Law @ University of Nottingham,degree,,,,2015-04-28 12:30:39,2018-02-13 01:42:39,04b09eef-637c-c63f-9775-5cc843acf6e7,Oli Ashness,9f34cd88-4864-e6cc-34e0-b9f346d196a2,University of Nottingham,LLB,Law,2007-01-01,2010-01-01,True
9e4c836d-7419-4e74-b199-ec0464274596,PhD.  Behavioral Economics @ University of North Carolina at Chapel Hill,degree,,,,2018-08-08 19:53:25,2018-08-08 19:53:25,29c98468-a6fa-4c70-98d2-7f3cab5e6d47,Gray Mull,213d8152-ef6b-d2f3-091a-220e153d9e17,University of North Carolina at Chapel Hill,PhD.,Behavioral Economics,1994-01-01,1999-01-01,True
d1271741-182a-85e1-158d-b962b8018a57,unknown  unknown @ Northwestern University,degree,,,,2010-07-12 14:52:15,2018-02-13 01:43:34,bc8033d8-628a-55a5-242f-3d63dd45aa59,Mark Tan,f23fd798-2cc4-426e-c670-13e81ba24806,Northwestern University,unknown,unknown,,,False
894ead47-450c-f2e3-7af4-ea8587abbec0,Laurea  unknown @ University of Florence,degree,,,,2017-04-11 09:22:58,2018-02-13 01:42:05,e7ca8308-23a7-1cbc-c903-bd3c91e8daa9,Maurizio Paolo Grassi,258e8cc2-b3c3-3b81-1f43-40129f6e9d7e,University of Florence,Laurea,unknown,,,False
460ee4ca-bdbc-fdeb-7d17-daa40f3d0ce7,PhD  Linguistics @ University of Illinois at Urbana-Champaign (UIUC),degree,,,,2015-08-10 16:56:47,2018-02-13 01:40:52,616f151a-d718-b45d-e907-bd931eb0249c,Fraser Bennett,84d690d3-432f-1f30-ab79-16e78adffe52,University of Illinois at Urbana-Champaign (UIUC),PhD,Linguistics,1995-01-01,,False
10cccd81-c5fc-d31f-e8ac-029602dd7ea9,MBA  New Venture and Entrepreneurship @ MIT - Sloan School of Management,degree,,,,2016-11-01 08:25:18,2018-02-13 01:39:47,649eebe0-4711-9d62-b0d5-6c57f35406ea,Yariv Geller,b052eecd-4c29-c1c6-3157-591011af2a0c,MIT - Sloan School of Management,MBA,New Venture and Entrepreneurship,,,False
fe67dcb1-f333-7aef-63d1-add423035383,Ph.D  Computer Science @ Indian Institute of Technology Kharagpur,degree,,,,2017-08-02 06:01:04,2018-02-13 01:44:33,f65e8602-6bcb-ba43-fd4a-71982c4db340,Ramesh Jain,8da1d81c-3531-4d22-4209-5e8a6e7d082c,Indian Institute of Technology Kharagpur,Ph.D,Computer Science,1969-01-01,1976-01-01,True
7be8d8d4-3846-b89f-1f14-d71113df0d96,BE  Biomedical Engineering @ Arizona State University,degree,,,,2013-06-13 11:02:16,2018-02-13 01:41:51,b68b823c-752f-4d85-6957-d909562a9b02,Rich Kaufman,7de1e4d7-c5a5-2c48-8725-3a4e28c67149,Arizona State University,BE,Biomedical Engineering,,,False
d243eec1-9ca0-5444-3eea-13314858a487,unknown  Electrical Engineering @ Drexel University,degree,,,,2014-03-19 11:16:49,2018-02-13 01:43:36,dd2ec572-3b41-079b-b50b-5f2246a26d6e,Patrick Dewar,5bd00c6a-e281-ea0e-238e-d8c6d1001dce,Drexel University,unknown,Electrical Engineering,,,False
b74d404d-0aad-4616-a4d6-71eb1b646ce1,BA  Philosophy @ Hebrew University of Jerusalem,degree,,,,2018-04-25 11:44:40,2018-04-25 11:44:40,24d3bad2-8162-c7df-84d0-892ebf4f97d2,Adam Sager,a27f8f6c-3970-49df-7535-037bac724ffc,Hebrew University of Jerusalem,BA,Philosophy,1995-01-01,2001-01-01,True
d1f157a0-aa11-57a3-01c8-32a9539c7a8d,EdS  Marriage and Family Therapy @ Seton Hall University,degree,,,,2017-05-09 12:31:07,2018-02-13 01:43:35,60028f5e-1ce4-2703-7dc6-93369237d934,Roseann Bennett,7707ed79-ba63-b071-3916-217335d8f913,Seton Hall University,EdS,Marriage and Family Therapy,,,False
6371cc60-1fff-4734-8efb-6f2f78d74ddf,Post-Doc  Organic Chemistry @ University of Oxford,degree,,,,2018-12-03 08:00:26,2018-12-03 08:00:26,65e2d646-a22f-40f7-b2a0-bc0c42b7fd6b,Sylvain Celanire,ec74a4ae-156b-5cba-82be-7922964ca376,University of Oxford,Post-Doc,Organic Chemistry,2001-01-01,2002-01-01,True
b812d4b8-a84c-48d4-9ae7-8b4bf377dd58,Master of Science  Applied Mathematic & Entrepreneurship @ CentraleSupélec,degree,,,,2018-04-13 16:21:52,2018-04-13 16:21:52,8d055f04-f4da-497b-9025-2b1c92d0d301,Pierre H. Gallet,863b0efc-3e7c-7391-8c2f-99da137f5113,CentraleSupélec,Master of Science,Applied Mathematic & Entrepreneurship,2012-09-01,2016-12-01,True
abee4ef2-a933-bd7d-5fa2-b1677579afd5,BE  Mechanical @ National Institute of Technology Rourkela,degree,,,,2017-08-21 04:44:57,2018-02-13 01:42:55,ff59f237-de95-98a2-d8d3-b820985cbd6b,Vineet Chadha,d3b17ff5-cea9-7f7c-5bb5-eaa82ef40173,National Institute of Technology Rourkela,BE,Mechanical,,,False
21780491-5b5f-42b2-9dbd-a455b97a5909,"B.A. Economics  Econometrics, Data models @ University of Arizona",degree,,,,2018-04-12 11:14:38,2018-04-12 11:14:38,08519802-116a-4f3f-b2c3-04de72e4301b,Alexander Ebadirad,3c8b6322-0b7b-6b8b-cb86-5467c1608a77,University of Arizona,B.A. Economics,"Econometrics, Data models",2005-01-01,2010-01-01,True
717f08a2-dbb6-c3dd-bdaf-2c008532a965,Bachelor Degree  unknown @ Northern Arizona University,degree,,,,2016-11-22 21:00:29,2018-02-13 01:41:39,b2be722c-1f80-dc22-9692-527aff95295e,Jonathan Henry,4e71b25f-f4ad-a57d-0882-e4bbf72df8e0,Northern Arizona University,Bachelor Degree,unknown,,,False
1e4ccb1b-65ec-4d94-8649-e6f233a9a42c,"MBA  Finance,Strategic Management @ Purdue University",degree,,,,2018-02-28 05:35:39,2018-02-28 05:35:39,008ece7c-61bd-415e-abad-97c74448c523,Dave Wilhite,4463c2d7-3901-347d-7fe8-4ddd2d55f5be,Purdue University,MBA,"Finance,Strategic Management",2006-01-01,2008-01-01,True
b29ddcea-265d-818b-196e-849865888442,Double BS  Pure Math & Computer Science @ The University of Texas at Austin,degree,,,,2014-05-17 04:38:43,2018-02-13 01:43:03,6a210d7f-d31a-5d76-6c78-6d23092e53a3,Nga Nguyen,a6549dc5-9dff-ce3e-eb1e-79af3430462e,The University of Texas at Austin,Double BS,Pure Math & Computer Science,2002-01-01,2005-01-01,True
76c79358-3fdc-4cbb-a2af-b1f68bbc85b2,Master  Geoinformatics @ Aalborg University,degree,,,,2018-12-26 05:09:41,2018-12-26 05:09:41,93260cbb-3018-4aab-bc42-8c1add00821a,Andreas Espersen,189e3685-154b-70aa-a4da-b6bd43b09a98,Aalborg University,Master,Geoinformatics,,,False
39052e17-c71e-da1a-49fe-95713bd44d49,"BA  Politics @ University of California, Santa Cruz",degree,,,,2013-09-10 00:18:48,2018-02-13 01:40:37,18a20c6d-6b78-c65b-b9a8-9111178b286d,Stephanie Margossian,f2d37262-3642-64b7-e584-08a04c5698b4,"University of California, Santa Cruz",BA,Politics,,2003-01-01,True
116c1f39-cc2c-4a11-b8b3-c1ffd76ab7a1,(BA)  Woodrow Wilson School of Public and International Affairs @ Princeton University,degree,,,,2018-04-06 09:27:24,2018-10-26 18:56:53,2bae3db0-1f05-4a35-a5c2-26c758b3c507,Tom Beaton,f44448e4-ff35-c96a-b7c0-3bd2ebcb4f72,Princeton University,(BA),Woodrow Wilson School of Public and International Affairs,1973-01-01,1977-01-01,True
84701b28-043a-c5bc-4897-321565d1e566,Doctor  Philosophy @ Technical University of Munich,degree,,,,2015-03-18 13:53:00,2018-02-13 01:42:00,c07c9cf9-b7ac-9439-14a3-dce78edaf36f,Gottfried Langenstein,d6f3813f-d120-eff6-f1a2-972381a68261,Technical University of Munich,Doctor,Philosophy,1989-01-01,,False
9f5ceeed-1442-5cf9-d650-61faf20e99ee,JD  unknown @ Stanford Law School,degree,,,,2013-11-08 08:44:46,2018-02-13 01:42:41,fa5e651f-e814-0146-af61-cfc459c92472,Micheal Jacobson,3d152e47-0515-f546-a93e-f044311bd778,Stanford Law School,JD,unknown,,,False
00a3d5f4-3291-43f4-b2e8-a164e608f5b2,B.Tech  Electronics and communication @ Rajasthan Technical University,degree,,,,2018-05-30 12:50:52,2018-10-26 18:58:07,72c008ae-d3e5-4390-a891-5586f872054d,Yuvraj Yadav,6d8b0da2-7608-e923-434b-d1dcafda699b,Rajasthan Technical University,B.Tech,Electronics and communication,2011-06-01,2015-06-01,True
32fd978a-19e1-5497-7975-a1b7731719da,unknown  unknown @ Kellogg School of Management,degree,,,,2013-04-30 11:59:02,2018-02-13 01:40:31,521553e1-8e57-2d93-1fe7-5322633b4e55,Greg Sigel,054fc978-4459-159c-c679-059bfcf1a9be,Kellogg School of Management,unknown,unknown,,1996-01-01,True
469474bb-2d84-4e6c-a474-904b08ca087b,MSc  Computer Science @ University of Cape Town,degree,,,,2018-10-24 12:05:50,2018-10-24 12:05:50,40b03154-fa14-48b8-b5c0-6798033bf66b,Shikoh Gitau,eba7687d-481a-4164-6ab3-ca39d430478e,University of Cape Town,MSc,Computer Science,2007-01-01,2008-01-01,True
a8b6d008-a1c9-4e53-3ae7-ba9afa2f317d,Bachelor  Electrical Engineering @ Santa Clara University,degree,,,,2014-03-18 16:33:54,2018-02-13 01:42:52,ce78fa79-57ef-eba5-826d-81740966653f,Tuan Nguyen,145b3649-b049-fd29-7af4-1381c9e2e5d5,Santa Clara University,Bachelor,Electrical Engineering,,,False
955c0307-801a-d62a-668f-91af62936e13,"MBA  unknown @ University of California, Berkeley",degree,,,,2013-09-09 06:44:21,2018-02-13 01:42:29,8e278ea6-2800-797e-049c-d2dff2002bba,Ed Bierdeman,10f9a25b-9675-2281-486e-a52955c706df,"University of California, Berkeley",MBA,unknown,,,False
347288b4-d42b-64ba-0b96-ee427e7a1dc6,M.A  Languages & Political Science @ University of Warsaw,degree,,,,2017-01-09 11:21:25,2018-02-13 01:40:32,977182ce-aa82-bd42-17a4-13c12b1466c7,Justyna Miziolek,17f02fbb-627d-3f42-309d-ef901a290e0f,University of Warsaw,M.A,Languages & Political Science,1999-01-01,2004-01-01,True
6c1afc13-cec2-6b67-b3cf-df76f6e711b5,M.Sc.  Chemistry @ Hebrew University of Jerusalem,degree,,,,2014-09-08 13:08:40,2018-02-13 01:41:33,e02c10ba-f3a7-8a74-5530-343a3c90b8ff,Joseph Schlessinger,a27f8f6c-3970-49df-7535-037bac724ffc,Hebrew University of Jerusalem,M.Sc.,Chemistry,,,False
