uuid,name,type,permalink,cb_url,rank,created_at,updated_at,org_uuid,org_name,org_cb_url,country_code,state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,share_price_usd,share_price,share_price_currency_code,valuation_price_usd,valuation_price,valuation_price_currency_code,money_raised_usd,money_raised,money_raised_currency_code
859a4350-fa00-8ab5-5a1d-f4bdf1edcca1,,ipo,fugro-geoteam-ipo--859a4350,https://www.crunchbase.com/ipo/fugro-geoteam-ipo--859a4350,5826,2016-11-16 13:29:40,2018-02-13 00:30:16,3d61378c-2d1d-da9a-e0c1-bff0071483b9,Fugro,https://www.crunchbase.com/organization/fugro-geoteam,AUS,,Western Australia,Perth,ams,FUR,1999-04-01,,,,,,,,,
51968c45-6d72-4bbe-a9f0-8de906460f53,,ipo,carclo-plc-ipo--51968c45,https://www.crunchbase.com/ipo/carclo-plc-ipo--51968c45,16193,2018-01-23 13:08:06,2018-02-12 23:45:02,155c2927-99d5-41aa-9916-01cf02362893,Carclo plc,https://www.crunchbase.com/organization/carclo-plc,GBR,,Wakefield,Ossett,lon,CAR,1999-01-15,,,,,,,,,
ec15fb34-4a26-4771-aca4-dd3a0dd1912e,,ipo,ashford-hospitality-prime-ipo--ec15fb34,https://www.crunchbase.com/ipo/ashford-hospitality-prime-ipo--ec15fb34,5791,2014-11-24 22:38:43,2018-08-07 06:52:37,4237f6a4-40ec-b5e1-835c-640e965e1011,Braemar Hotel & Resorts Inc,https://www.crunchbase.com/organization/ashford-hospitality-prime,USA,TX,Texas,Dallas,nyse,BHR,2013-11-15,,,,,,,,,
7211656a-7790-8c96-62ed-6b4cf8125473,,ipo,elf-cosmetics-ipo--7211656a,https://www.crunchbase.com/ipo/elf-cosmetics-ipo--7211656a,420,2016-09-24 16:25:12,2018-02-12 23:36:39,e7ecd2ba-be08-29d4-9d01-88672e0eab73,elf Cosmetics,https://www.crunchbase.com/organization/elf-cosmetics,USA,NY,New York,New York,nyse,ELF,2016-09-22,,,,,,,63000000.0,63000000.0,USD
5be2078b-e3a8-4822-92d0-56629f61f26b,,ipo,netplaytv-ipo--5be2078b,https://www.crunchbase.com/ipo/netplaytv-ipo--5be2078b,1808,2018-07-24 22:32:25,2018-07-24 22:32:25,e7119296-11de-781c-e322-70f95266b068,NetPlayTV plc,https://www.crunchbase.com/organization/netplaytv,GBR,,England,London,lse,NPT,2001-04-01,,,,,,,,,
f04be293-0e86-453f-8d49-9738ad015eca,,ipo,hung-hing-printing-group-ipo--f04be293,https://www.crunchbase.com/ipo/hung-hing-printing-group-ipo--f04be293,2795,2018-06-11 09:53:16,2018-06-11 09:53:16,74f124c9-6008-4df2-b9a9-0c6cae1e6cd8,Hung Hing Printing Group,https://www.crunchbase.com/organization/hung-hing-printing-group,HKG,,New Territories,Tai Po,hkg,0450,2000-01-07,,,,,,,,,
acbe586a-9cba-44a2-8650-1e4287db763a,,ipo,wendy-s-ipo--acbe586a,https://www.crunchbase.com/ipo/wendy-s-ipo--acbe586a,2238,2018-01-19 05:49:33,2018-06-06 16:12:00,02901172-b566-1048-781c-5947243df42c,Wendy's,https://www.crunchbase.com/organization/wendy-s,USA,OH,Ohio,Dublin,nasdaq,WEN,2013-01-11,,,,,,,,,
fb8bba33-34b9-4f27-806f-4ed586ee5d77,,ipo,shield-therapeutics-ipo--fb8bba33,https://www.crunchbase.com/ipo/shield-therapeutics-ipo--fb8bba33,3077,2018-01-02 10:32:55,2018-02-12 23:34:52,db0276d5-4db8-a6fb-79bf-06ef38151844,Shield Therapeutics,https://www.crunchbase.com/organization/shield-therapeutics,GBR,,Surrey,Weybridge,lon,STX,2016-02-12,0.21756220103327498,0.15,GBP,234967177.0,162000000.0,GBP,47138476.0,32500000.0,GBP
1fe24a41-c03c-5994-23c5-b97a00891618,,ipo,dte-energy-ipo--1fe24a41,https://www.crunchbase.com/ipo/dte-energy-ipo--1fe24a41,9788,2014-07-07 10:04:36,2018-02-12 23:19:47,1d66fcd7-c5d2-0645-0586-02013cefbd3b,DTE Energy,https://www.crunchbase.com/organization/dte-energy,USA,IN,Indiana,Michigan City,nyse,DTE,1978-01-13,,,,,,,,,
dea2056c-93c6-f902-38f6-63792fd483e3,,ipo,hand-enterprise-solutions-co-ltd-ipo--dea2056c,https://www.crunchbase.com/ipo/hand-enterprise-solutions-co-ltd-ipo--dea2056c,12229,2016-11-17 10:12:15,2018-02-12 22:14:45,d9928742-7da0-927f-4b05-8ed567f8bc53,"HAND Enterprise Solutions Co., Ltd",https://www.crunchbase.com/organization/hand-enterprise-solutions-co-ltd,CHN,,Shanghai,Shanghai,she,300170,2011-02-11,,,,,,,,,
ace5e084-3778-9edc-05da-93cd49082669,,ipo,northwest-biotherapeutics-ipo--ace5e084,https://www.crunchbase.com/ipo/northwest-biotherapeutics-ipo--ace5e084,1172,2016-11-22 08:01:55,2018-08-10 05:10:17,b67f854d-774f-785b-6dc3-9ca10b689e19,Northwest Biotherapeutics,https://www.crunchbase.com/organization/northwest-biotherapeutics,USA,MD,Maryland,Bethesda,nasdaq,NWBO,2012-08-03,,,,,,,,,
25fd5b8d-f424-4ba3-86f9-84e29ae71827,,ipo,nexoptic-ipo--25fd5b8d,https://www.crunchbase.com/ipo/nexoptic-ipo--25fd5b8d,10196,2018-04-11 12:24:23,2018-04-11 12:24:23,4053e3e9-a0d1-40e5-a232-6de558b39aaa,NexOptic,https://www.crunchbase.com/organization/nexoptic,CAN,BC,British Columbia,Vancouver,cve,NXO,2016-02-22,,,,,,,,,
322aaeb1-2958-cb59-95d2-fe16168ae78f,,ipo,tyco-electronics-ipo--322aaeb1,https://www.crunchbase.com/ipo/tyco-electronics-ipo--322aaeb1,13085,2010-01-28 09:07:38,2018-02-12 22:56:01,4eced732-a85c-ed70-f04b-a6ef2991bb6c,TE Connectivity,https://www.crunchbase.com/organization/tyco-electronics,CHE,,Schaffhausen,Schaffhausen,nyse,TEL,2007-06-22,,,,,,,,,
285eb7d3-a77f-471d-9989-d44e65956047,,ipo,tri-star-resources-ipo--285eb7d3,https://www.crunchbase.com/ipo/tri-star-resources-ipo--285eb7d3,11223,2018-01-23 07:28:04,2018-02-12 23:27:46,9240e05b-cada-4eeb-b4ab-9c9a6e8f6617,Tri-Star Resources,https://www.crunchbase.com/organization/tri-star-resources,GBR,,England,London,lon,TSTR,2010-09-03,,,,,,,,,
98de497c-1e64-1d62-f4d3-25c9eba481ff,,ipo,unitek-global-services-ipo--98de497c,https://www.crunchbase.com/ipo/unitek-global-services-ipo--98de497c,12478,2014-06-26 13:09:05,2018-07-23 07:03:16,e2113d5b-e307-1fe1-bb96-05f2163eab36,UniTek Global Services,https://www.crunchbase.com/organization/unitek-global-services,USA,PA,Pennsylvania,Blue Bell,otcbb,UNTKQ,2010-11-19,,,,,,,,,
efb41282-ab89-f523-c7cb-a54eecb28cef,,ipo,lincoln-electric-holdings-ipo--efb41282,https://www.crunchbase.com/ipo/lincoln-electric-holdings-ipo--efb41282,7751,2014-06-02 12:55:24,2018-02-12 23:46:50,695e30d4-f00b-52f6-53b1-d60c0690f8bf,Lincoln Electric Holdings,https://www.crunchbase.com/organization/lincoln-electric-holdings,USA,OH,Ohio,Cleveland,nasdaq,LECO,1995-06-23,,,,,,,,,
2d233c49-7385-4429-84b0-2e56205f7224,,ipo,wereldhave-ipo--2d233c49,https://www.crunchbase.com/ipo/wereldhave-ipo--2d233c49,11354,2018-03-08 11:17:03,2018-03-08 11:17:03,8212db53-aed6-4996-ac27-187f015a87e8,Wereldhave,https://www.crunchbase.com/organization/wereldhave,NLD,,Noord-Holland,Schiphol,ams,WHA,1999-04-01,,,,,,,,,
d0f1a810-c017-8708-cc30-a75182703898,,ipo,evotec-inc-ipo--d0f1a810,https://www.crunchbase.com/ipo/evotec-inc-ipo--d0f1a810,13937,2016-11-16 10:50:42,2018-05-03 10:22:01,3590a9f1-edf2-1583-10f8-52e9df0aebd4,Evotec,https://www.crunchbase.com/organization/evotec-inc,DEU,,Hamburg,Hamburg,etr,EVT,1999-11-12,,,,,,,,,
2a06a7f4-f746-4c3e-9441-34558174c700,,ipo,whitehawk-ipo--2a06a7f4,https://www.crunchbase.com/ipo/whitehawk-ipo--2a06a7f4,10034,2018-01-24 11:05:37,2018-02-12 23:28:28,0bc76497-a4bd-4dab-9bd8-e6e067e412f1,WhiteHawk,https://www.crunchbase.com/organization/whitehawk,AUS,,Western Australia,Perth,asx,WHK,2018-01-24,0.16100557642814,0.2,AUD,,,,3622625.0,4500000.0,AUD
8f73ed92-d517-2a4e-d960-19d4a7cb64c7,,ipo,cebu-pacefic-ipo--8f73ed92,https://www.crunchbase.com/ipo/cebu-pacefic-ipo--8f73ed92,3279,2016-11-15 09:35:46,2018-02-13 00:42:25,70979764-f41a-dcd5-7c4a-80eea82d41ca,Cebu Pacefic,https://www.crunchbase.com/organization/cebu-pacefic,PHL,,Pasay,Pasay City,otcpink,CEBUF,2013-06-04,,,,,,,,,
2a06f88f-9ec9-efdb-b4da-2037983c56f2,,ipo,philweb-corporation-ipo--2a06f88f,https://www.crunchbase.com/ipo/philweb-corporation-ipo--2a06f88f,12320,2016-11-22 10:57:32,2018-08-14 10:17:05,82d6f92c-3231-3440-600b-b53541a7311f,Philweb Corporation,https://www.crunchbase.com/organization/philweb-corporation,PHL,,Manila,Makati,pse,WEB,2012-01-06,,,,,,,,,
b7e85b8d-74c3-4d52-9b71-39f9964a65e7,,ipo,blue-sky-uranium-corp-ipo--b7e85b8d,https://www.crunchbase.com/ipo/blue-sky-uranium-corp-ipo--b7e85b8d,7003,2018-03-06 05:44:10,2018-03-06 05:44:10,d3e182da-ac92-49e7-8c43-b0531b332d9f,Blue Sky Uranium Corp,https://www.crunchbase.com/organization/blue-sky-uranium-corp,CAN,AB,Alberta,Vancouver,cve,BSK,2006-07-07,,,,,,,,,
2e6f67d4-321e-7d19-b459-2a9a0f5eabad,,ipo,asrr-capital-ipo--2e6f67d4,https://www.crunchbase.com/ipo/asrr-capital-ipo--2e6f67d4,8272,2017-03-17 05:35:00,2018-08-02 13:13:17,e369672c-5f6f-a871-a260-de35562c520b,ASRR Capital,https://www.crunchbase.com/organization/asrr-capital,ISR,,Tel Aviv,Tel Aviv,tlv,ASRR,2002-01-10,,,,,,,,,
21437820-8d98-605e-99db-866b81154944,,ipo,ljl-biosystems-ipo--21437820,https://www.crunchbase.com/ipo/ljl-biosystems-ipo--21437820,1688,2014-08-05 10:37:35,2018-08-02 07:15:18,eca5c396-e0bc-6b0f-aa9b-229cf177287b,LJL Biosystems,https://www.crunchbase.com/organization/ljl-biosystems,USA,CA,California,Sunnyvale,nasdaq,LJLB,1998-03-13,7.0,7.0,USD,,,,14000000.0,14000000.0,USD
4c412fd2-0e6a-4970-b6d4-d7003284a92f,,ipo,dexcom-ipo--4c412fd2,https://www.crunchbase.com/ipo/dexcom-ipo--4c412fd2,16478,2014-06-02 11:04:02,2018-02-12 23:48:46,21125c53-39ee-e735-27a2-a87c25435013,Dexcom,https://www.crunchbase.com/organization/dexcom,USA,CA,California,San Diego,nasdaq,DXCM,2005-04-14,,,,,,,56400000.0,56400000.0,USD
4b24eddf-face-473c-aa5a-0d86dcf02c61,,ipo,bryah-resources-ipo--4b24eddf,https://www.crunchbase.com/ipo/bryah-resources-ipo--4b24eddf,9078,2017-10-27 05:26:17,2018-02-12 23:47:44,b79cf928-6110-4d68-b831-717f7d90fa73,Bryah Resources,https://www.crunchbase.com/organization/bryah-resources,AUS,,Western Australia,Perth,asx,BYH,2017-10-18,0.156847982934939,0.2,AUD,8783487.0,11200000.0,AUD,3921199.0,5000000.0,AUD
e3fc1018-c22b-4e94-9bb8-e6cbfe646a95,,ipo,buchang-group-ipo--e3fc1018,https://www.crunchbase.com/ipo/buchang-group-ipo--e3fc1018,392,2018-10-18 10:07:38,2018-10-18 10:07:38,ef1d65dd-0105-d2ec-d66b-ab956e59a235,Buchang Pharma,https://www.crunchbase.com/organization/buchang-group,CHN,,Hunan,Xian,sha,603858,2012-10-18,,,,,,,,,
ab25fd76-a938-fb88-d424-a7bf429c9beb,,ipo,quest-rare-minerals-ipo--ab25fd76,https://www.crunchbase.com/ipo/quest-rare-minerals-ipo--ab25fd76,1072,2016-11-22 11:14:23,2018-08-08 11:36:48,1722c149-62d3-7fd5-1409-c00c739634de,Quest Rare Minerals,https://www.crunchbase.com/organization/quest-rare-minerals,CAN,QC,Quebec,Montréal,cve,QRM,2011-12-02,,,,,,,,,
a70cff65-216f-55a4-6fef-b0204fe24a0d,,ipo,glencore-xstrata-ipo--a70cff65,https://www.crunchbase.com/ipo/glencore-xstrata-ipo--a70cff65,5254,2013-05-28 16:25:23,2018-02-12 22:20:19,f94d0d78-d59f-6f50-0673-e1d8095f8d37,Glencore Xstrata,https://www.crunchbase.com/organization/glencore-xstrata,,,,,lon,GLEN,2011-05-27,,,,,,,,,
81706b97-efa5-c4e6-810e-8ed6048cee4f,,ipo,greenwood-hall-ipo--81706b97,https://www.crunchbase.com/ipo/greenwood-hall-ipo--81706b97,10135,2016-11-17 09:37:54,2018-02-12 23:52:35,fb7ac870-a92c-e104-dc85-6af74b0c56fe,Greenwood Hall,https://www.crunchbase.com/organization/greenwood-hall,USA,CA,California,Los Angeles,otcqb,ELRN,2014-01-08,,,,,,,,,
6ec8d407-127b-a697-57e2-48222a02837d,,ipo,harley-davidson-motor-company-ipo--6ec8d407,https://www.crunchbase.com/ipo/harley-davidson-motor-company-ipo--6ec8d407,10740,2014-08-27 06:09:50,2018-02-12 23:37:22,b2e1bf57-3376-8140-f99b-3fe91cc06441,Harley-Davidson Motor Company,https://www.crunchbase.com/organization/harley-davidson-motor-company,USA,WI,Wisconsin,Milwaukee,nyse,HOG,1986-07-18,,,,,,,,,
45d89b22-27f4-1efa-9591-0d8e70f02337,,ipo,tumi-holdings-ipo--45d89b22,https://www.crunchbase.com/ipo/tumi-holdings-ipo--45d89b22,2134,2014-06-11 07:31:00,2018-07-13 10:38:46,914bf410-5c15-0928-421e-3fde4ef8980e,Tumi Holdings,https://www.crunchbase.com/organization/tumi-holdings,USA,NJ,New Jersey,Plainfield,nyse,TUMI,2012-04-09,18.0,18.0,USD,1220000000.0,1220000000.0,USD,338000000.0,338000000.0,USD
86e2f1b7-2838-8119-a2ab-6e53b1f79c43,,ipo,mantra-energy-alternatives-ipo--86e2f1b7,https://www.crunchbase.com/ipo/mantra-energy-alternatives-ipo--86e2f1b7,9285,2016-11-21 09:30:34,2018-07-13 11:16:32,23800f28-4495-070d-3c82-4482cc34e46a,Mantra Energy Alternatives,https://www.crunchbase.com/organization/mantra-energy-alternatives,CAN,BC,British Columbia,Vancouver,otcpink,MVTG,2008-01-18,,,,,,,,,
1dda5c90-68e2-4647-b957-c9cc82fe7304,,ipo,videlio-ipo--1dda5c90,https://www.crunchbase.com/ipo/videlio-ipo--1dda5c90,8928,2018-02-27 11:18:35,2018-02-27 11:18:35,992bcdbd-432b-414c-9f97-1e7e90fa9b9f,Videlio,https://www.crunchbase.com/organization/videlio,FRA,,Ile-de-France,Gennevilliers,epa,VDLO,1999-04-01,,,,,,,,,
8bec2a0a-d7bc-49b3-ba03-7095884433d3,,ipo,onemarketnetwork-ipo--8bec2a0a,https://www.crunchbase.com/ipo/onemarketnetwork-ipo--8bec2a0a,2798,2018-06-08 05:00:36,2018-06-08 05:00:36,f6b434ba-576a-4d47-af49-59390053764d,OneMarket,https://www.crunchbase.com/organization/onemarketnetwork,USA,CA,California,San Francisco,asx,OMN,2018-05-31,,,,,,,,,
4cded177-8655-df11-2d74-59948080bccf,,ipo,joy-global-ipo--4cded177,https://www.crunchbase.com/ipo/joy-global-ipo--4cded177,11804,2014-03-26 10:27:07,2018-08-03 11:33:31,fac7150d-db78-2302-1fce-ef3f448c70f5,Joy Global,https://www.crunchbase.com/organization/joy-global,USA,WI,Wisconsin,Milwaukee,nyse,JOY,2011-01-14,,,,,,,,,
a8844788-b9c1-4453-a605-bf1f1002e380,,ipo,valbiotis-ipo--a8844788,https://www.crunchbase.com/ipo/valbiotis-ipo--a8844788,14516,2018-02-26 12:54:33,2018-02-26 12:54:33,3be5a5cb-dbc8-4503-969e-7861ac9c2e72,Valbiotis,https://www.crunchbase.com/organization/valbiotis,FRA,,Poitou-Charentes,La Rochelle,epa,ALVAL,2017-06-08,,,,,,,,,
95660810-f945-9623-fb72-888f01e6ebb5,,ipo,worldgate-communications-ipo--95660810,https://www.crunchbase.com/ipo/worldgate-communications-ipo--95660810,1979,2014-07-31 09:16:34,2018-07-18 07:40:41,52c56466-aa24-969c-5809-3926432a3403,WorldGate Communications,https://www.crunchbase.com/organization/worldgate-communications,USA,PA,Pennsylvania,Feasterville Trevose,nasdaq,WGAT,1999-04-15,21.0,21.0,USD,,,,105000000.0,105000000.0,USD
